id,name
2,Сказка
8,Здоровье
17,Наука
24,Комедийная мелодрама
38,Мистика
41,Исторический
46,Комедия
56,Архив
57,Сериал
60,Охота и рыбалка
62,Образование
68,Балет
72,Детектив
74,Романтическая комедия
75,Фантастическая комедия
81,Криминальный триллер
84,Фантастическая мелодрама
85,Фильм
91,Реалити-шоу
97,Драма
100,Криминал
104,Детям
107,Интервью
124,Биография
125,Научная фантастика
127,Комедийный боевик
129,Семейная комедия
130,Семейный
131,Хоррор
138,Мелодрама
143,Военный
145,Приключенческая комедия
149,Программы для молодежи
153,Военная драма
155,Шоу
158,Приключения
164,Анимация
165,Кулинария
169,Развлечения
171,Психологический триллер
178,Мистический триллер
180,Хобби
181,Спортивная комедия
183,Кроссфит
186,Документальное
187,Трагикомедия
189,Трансляция
198,Документальный
204,Для взрослых
209,Путешествия
210,Исторический боевик
217,Фантастический боевик
218,Вестерн
219,Биографический
223,Короткометражный
234,Криминальный боевик
242,Биографическая драма
247,Музыка
250,Фантастический триллер
252,Приключенческий боевик
259,Зимние виды спорта
261,Мультфильм
266,Фантастика
271,Юмор
273,Приключенческая драма
281,Комедийная драма
282,Фантастическая драма
287,Спортивная драма
292,ужасы
294,Боевик
296,Документальный фильм
302,Фэнтези
303,Триллер
304,Мультипликационный фильм
309,Концерт
310,Программа
311,Садоводство
316,Криминальная драма
318,Спектакль
319,История
320,Развлекательная программа
324,Фэнтези драма
325,Историческая драма
326,Ужасы
333,Криминальная комедия
336,Чёрная комедия
341,Познавательное
347,другое
348,Фэнтезийный боевик
349,фантастика
355,Военный боевик
356,Спорт
360,Аудиокниги
362,Стендап
366,Детские программы
367,Мюзикл
